2017年06月01日,阴/多云,33℃/22℃,南风3-4级/东风3-4级
2017年06月02日,多云/多云,32℃/20℃,东风3-4级/东风3-4级
2017年06月03日,多云/多云,31℃/19℃,东风3-4级/东风3-4级
2017年06月04日,晴/多云,30℃/20℃,东风3-4级/东风4-5级
2017年06月05日,中雨/中雨,24℃/19℃,东南风4-5级/东南风4-5级
2017年06月06日,阵雨/多云,25℃/19℃,东南风3-4级/西风3-4级
2017年06月07日,多云/多云,29℃/20℃,西北风≤3级/东南风≤3级
2017年06月08日,多云/多云,31℃/22℃,东南风≤3级/东南风≤3级
2017年06月09日,阴/中雨,31℃/24℃,东南风3-4级/南风3-4级
2017年06月10日,大雨/阵雨,24℃/20℃,南风4-5级/北风4-5级
2017年06月11日,多云/阴,29℃/20℃,东风≤3级/东风≤3级
2017年06月12日,阵雨/阴,26℃/20℃,东南风3-4级/东南风3-4级
2017年06月13日,阵雨/多云,26℃/20℃,东风≤3级/东风≤3级
2017年06月14日,多云/多云,28℃/19℃,东风3-4级/东风3-4级
2017年06月15日,多云/多云,28℃/19℃,东南风3-4级/东南风3-4级
2017年06月16日,多云/多云,29℃/18℃,东南风≤3级/东南风≤3级
2017年06月17日,晴/晴,29℃/19℃,东南风≤3级/东南风≤3级
2017年06月18日,多云/多云,29℃/21℃,东南风≤3级/东南风≤3级
2017年06月19日,阴/阵雨,28℃/23℃,东南风≤3级/东风≤3级
2017年06月20日,阵雨/多云,27℃/21℃,东南风≤3级/东风≤3级
2017年06月21日,阴/阵雨,27℃/22℃,东风3-4级/东北风3-4级
2017年06月22日,阴/阴,28℃/22℃,东南风3-4级/东南风3-4级
2017年06月23日,小雨/暴雨,27℃/23℃,东南风≤3级/东南风≤3级
2017年06月24日,小雨/小雨,26℃/23℃,东南风3-4级/东南风3-4级
2017年06月25日,小雨/阴,26℃/23℃,东南风3-4级/西南风3-4级
2017年06月26日,阴/阴,30℃/23℃,西风3-4级/西风3-4级
2017年06月27日,阴/阴,30℃/23℃,东南风≤3级/东南风≤3级
2017年06月28日,阴/雷阵雨,29℃/23℃,东南风≤3级/东南风≤3级
2017年06月29日,雷阵雨/雷阵雨,29℃/24℃,东风3-4级/东南风3-4级
2017年06月30日,阵雨/阵雨,30℃/25℃,东南风3-4级/南风3-4级
2017年07月01日,阵雨/阴,29℃/25℃,南风3-4级/南风3-4级
2017年07月02日,雷阵雨/雷阵雨,30℃/25℃,东南风3-4级/南风3-4级
2017年07月03日,雷阵雨/雷阵雨,31℃/25℃,西南风≤3级/西南风≤3级
2017年07月04日,雷阵雨/多云,32℃/26℃,南风3-4级/西南风3-4级
2017年07月05日,雷阵雨/多云,34℃/27℃,西南风3-4级/西南风3-4级
2017年07月06日,雷阵雨/多云,34℃/27℃,南风3-4级/南风3-4级
2017年07月07日,多云/多云,35℃/28℃,南风≤3级/南风≤3级
2017年07月08日,雷阵雨/雷阵雨,33℃/26℃,南风3-4级/南风3-4级
2017年07月09日,多云/多云,33℃/27℃,西南风≤3级/南风≤3级
2017年07月10日,雷阵雨/多云,33℃/27℃,南风3～4级/西南风3～4级
2017年07月11日,雷阵雨/多云,33℃/26℃,西南风3-4级/南风≤3级
2017年07月12日,多云/多云,35℃/28℃,南风≤3级/南风≤3级
2017年07月13日,多云/多云,36℃/28℃,西南风≤3级/西南风≤3级
2017年07月14日,多云/多云,37℃/29℃,南风≤3级/南风≤3级
2017年07月15日,多云/多云,37℃/29℃,南风3-4级/南风3-4级
2017年07月16日,晴/晴,38℃/29℃,南风≤3级/南风≤3级
2017年07月17日,晴/多云,38℃/29℃,南风≤3级/南风≤3级
2017年07月18日,多云/多云,37℃/29℃,南风≤3级/南风≤3级
2017年07月19日,多云/多云,37℃/29℃,西南风≤3级/西南风≤3级
2017年07月20日,多云/多云,38℃/29℃,南风3-4级/南风3-4级
2017年07月21日,多云/多云,39℃/29℃,西南风≤3级/西南风≤3级
2017年07月22日,晴/晴,39℃/30℃,西南风≤3级/西南风≤3级
2017年07月23日,多云/多云,40℃/30℃,南风≤3级/南风≤3级
2017年07月24日,晴/多云,40℃/30℃,南风≤3级/南风≤3级
2017年07月25日,多云/多云,40℃/29℃,东北风≤3级/东北风≤3级
2017年07月26日,多云/多云,38℃/29℃,东风≤3级/东风≤3级
2017年07月27日,晴/晴,39℃/29℃,东南风3-4级/东南风3-4级
2017年07月28日,多云/多云,38℃/28℃,东南风≤3级/东南风≤3级
2017年07月29日,晴/多云,37℃/28℃,东风3-4级/东风3-4级
2017年07月30日,阵雨/阵雨,34℃/28℃,东风3-4级/东风3-4级
2017年07月31日,阵雨/阵雨,35℃/28℃,东南风4-5级/东南风4-5级
2017年08月01日,阵雨/多云,36℃/29℃,东南风4-5级/东南风4-5级
2017年08月02日,阵雨/多云,35℃/29℃,东南风3-4级/东南风3-4级
2017年08月03日,多云/多云,36℃/29℃,东南风3-4级/南风3-4级
2017年08月04日,多云/多云,37℃/29℃,西南风3-4级/西南风3-4级
2017年08月05日,雷阵雨/多云,37℃/29℃,西南风≤3级/西风≤3级
2017年08月06日,多云/多云,37℃/29℃,西北风≤3级/西北风≤3级
2017年08月07日,多云/雷阵雨,37℃/28℃,西南风≤3级/西南风≤3级
2017年08月08日,雷阵雨/中雨,31℃/26℃,西南风3-4级/西风3-4级
2017年08月09日,小雨/多云,28℃/26℃,西南风3-4级/西南风3-4级
2017年08月10日,多云/多云,34℃/26℃,西北风≤3级/西南风≤3级
2017年08月11日,多云/多云,35℃/27℃,西南风≤3级/西南风≤3级
2017年08月12日,雷阵雨/阵雨,33℃/27℃,东南风3～4级/东南风3～4级
2017年08月13日,中雨/小雨,31℃/27℃,南风3-4级/西南风4-5级
2017年08月14日,雷阵雨/多云,32℃/26℃,西风3-4级/西风3-4级
2017年08月15日,多云/多云,31℃/26℃,西北风≤3级/西风≤3级
2017年08月16日,雷阵雨/雷阵雨,30℃/24℃,西风≤3级/南风≤3级
2017年08月17日,多云/多云,33℃/26℃,南风≤3级/南风≤3级
2017年08月18日,雷阵雨/阴,34℃/26℃,南风≤3级/南风≤3级
2017年08月19日,雷阵雨/雷阵雨,35℃/26℃,南风3-4级/西南风3-4级
2017年08月20日,雷阵雨/小雨,30℃/25℃,西北风3-4级/西风3-4级
2017年08月21日,多云/多云,33℃/26℃,东风≤3级/东南风3-4级
2017年08月22日,多云/多云,34℃/27℃,东南风3-4级/东南风3-4级
2017年08月23日,多云/多云,35℃/28℃,东南风≤3级/东南风≤3级
2017年08月24日,多云/多云,35℃/27℃,西南风3-4级/西北风3-4级
2017年08月25日,雷阵雨/雷阵雨,33℃/25℃,北风≤3级/东北风3-4级
2017年08月26日,多云/多云,30℃/25℃,东北风3-4级/东北风3-4级
2017年08月27日,多云/多云,33℃/27℃,东南风≤3级/东南风≤3级
2017年08月28日,晴/多云,36℃/27℃,南风≤3级/东北风≤3级
2017年08月29日,雷阵雨/阴,30℃/24℃,东北风3-4级/东北风3-4级
2017年08月30日,阴/阴,28℃/23℃,东风3-4级/东北风3-4级
2017年08月31日,阴/阴,26℃/22℃,东北风3-4级/东北风3-4级
